base_premium,account_age_days,clad_score,delivery_consistency,avg_daily_earning,claim_free_weeks,past_claims_count,is_monsoon,is_aqi_season,flood_frequency,avg_rainfall_mm,aqi_annual_avg,waterlogging_score,disruption_days_per_year,weekly_disruption_prob,expected_weekly_payout,optimal_premium
49,84,45.15932648347521,0.6554885879474307,630.2946239171782,1,2,0,1,0.72,970,95,0.68,28,0.536986301369863,169.22978943529716,120.0
49,61,64.1155227437726,0.806368014189782,771.726456029513,5,0,0,0,0.85,2400,145,0.8,38,0.7287671232876712,281.20443466280886,120.0
49,168,43.477938190368775,0.7086113937321458,672.4659455401652,6,2,0,0,0.45,940,88,0.4,19,0.3643835616438356,122.5177681600575,120.0
49,36,64.64923828827513,0.922625737999089,510.00469437557354,10,1,0,1,0.72,970,95,0.68,28,0.536986301369863,136.93276725700332,120.0
49,140,72.14378420475359,0.6189524937902631,823.7199426995141,8,0,0,1,0.72,970,95,0.68,28,0.536986301369863,221.1631626974038,120.0
49,79,68.26827696983057,0.9319524172957133,556.4552051103195,6,2,0,1,0.3,720,220,0.28,35,0.6712328767123288,186.75551404387437,120.0
49,224,47.58430398015041,0.3263685054343775,710.4456481885805,2,2,0,1,0.72,970,95,0.68,28,0.536986301369863,190.7497904725504,120.0
49,95,72.2920933134404,0.5911496076186576,739.4501331591621,1,4,0,0,0.45,940,88,0.4,19,0.3643835616438356,134.72173658927198,120.0
49,20,80.79906151686063,0.8042967945747548,658.8742580167876,17,2,1,0,0.72,970,95,0.68,28,1.3424657534246576,442.2580636003095,120.0
49,81,83.94652380236144,0.7624794803524689,995.5890534982343,1,2,0,1,0.45,940,88,0.4,19,0.3643835616438356,181.3881426236509,120.0
49,121,64.98711142376295,0.9572971817635537,581.1356409843174,0,2,0,0,0.3,720,220,0.28,35,0.6712328767123288,195.03867402898325,120.0
49,129,73.46930129497808,0.8903410291586533,661.3526180553189,12,3,0,1,0.3,720,220,0.28,35,0.6712328767123288,221.96081016925086,120.0
49,135,63.04871506012597,0.43633301048451817,774.1169014613374,0,2,0,1,0.85,2400,145,0.8,38,0.7287671232876712,282.0754736831723,120.0
49,1,72.52635410317045,0.5355380552998599,585.4603285646295,2,5,0,1,0.45,940,88,0.4,19,0.3643835616438356,106.66605986177497,120.0
49,82,65.99715965808234,0.6807227117238465,668.2411800114453,1,2,1,0,0.3,720,220,0.28,35,1.678082191780822,560.6818119959045,120.0
49,186,85.20889945111078,0.7620237300603335,691.2605304811752,11,1,0,0,0.85,2400,145,0.8,38,0.7287671232876712,251.88397412053783,120.0
49,342,60.5601298583248,0.5871077105561443,826.8908210634852,8,3,1,0,0.45,940,88,0.4,19,0.910958904109589,376.6317780871354,120.0
49,298,57.037924915809704,0.8650098071858953,778.1669501566957,2,1,0,1,0.72,970,95,0.68,28,0.536986301369863,208.9324962064553,120.0
49,155,70.84581215563698,0.7276815764896273,592.8255671644932,4,2,0,1,0.3,720,220,0.28,35,0.6712328767123288,198.96200541822034,120.0
49,16,31.192507817563804,0.8699986460481894,753.0488820240078,9,1,1,0,0.85,2400,145,0.8,38,1.821917808219178,685.9965843095413,120.0
49,14,57.35921541318133,0.8280070004849438,548.6939254797946,18,3,0,1,0.85,2400,145,0.8,38,0.7287671232876712,199.9350468186649,120.0
49,51,75.13821458376009,0.9586388126934379,687.3857794304304,3,2,1,0,0.3,720,220,0.28,35,1.678082191780822,576.7449176727927,120.0
49,84,35.70723803911744,0.7485124039507587,472.3147621013611,6,3,1,0,0.72,970,95,0.68,28,1.3424657534246576,317.0331964789958,120.0
49,584,71.7731317962375,0.8092759544491099,801.9522516425229,7,4,1,0,0.72,970,95,0.68,28,1.3424657534246576,538.2967168559401,120.0
49,35,63.0591141476788,0.9015704651722267,673.8782556127336,8,1,0,1,0.85,2400,145,0.8,38,0.7287671232876712,245.5501588945029,120.0
49,419,79.71018893518963,0.8600602169644471,626.4286380509947,18,3,0,1,0.85,2400,145,0.8,38,0.7287671232876712,228.2602982487186,120.0
49,71,64.64485560137744,0.8817632385552299,817.0143680101302,2,0,0,1,0.45,940,88,0.4,19,0.3643835616438356,148.85330266485934,120.0
49,27,73.9222413939675,0.8472858166138301,727.8459924829164,25,2,0,1,0.72,970,95,0.68,28,0.536986301369863,195.4216637351392,120.0
49,529,58.437555421247,0.8442949218166429,697.7784236809132,0,0,0,0,0.45,940,88,0.4,19,0.3643835616438356,127.12949362953624,120.0
49,22,53.01248533741062,0.7883712707299233,651.8535433736996,19,0,0,0,0.72,970,95,0.68,28,0.536986301369863,175.01821164554127,120.0
49,630,65.78878625411744,0.7049883836474552,958.3818949013868,5,1,1,0,0.72,970,95,0.68,28,1.3424657534246576,643.2974363036706,120.0
49,59,56.224128837578746,0.849785700015721,537.3930453378481,5,0,1,0,0.85,2400,145,0.8,38,1.821917808219178,489.54297965708076,120.0
49,659,33.09741595157907,0.6344366763220823,691.1666661049712,9,2,0,0,0.85,2400,145,0.8,38,0.7287671232876712,251.84977148482514,120.0
49,86,56.50858266471368,0.8059618080701821,693.3418050042792,10,6,1,0,0.85,2400,145,0.8,38,1.821917808219178,631.6058908600626,120.0
49,107,38.621888923737394,0.750118312850374,713.7833761856675,11,3,0,1,0.45,940,88,0.4,19,0.3643835616438356,130.04546442834766,120.0
49,25,69.68099793807689,0.7359426194983837,488.9512616292263,3,3,0,1,0.85,2400,145,0.8,38,0.7287671232876712,178.16580218270437,120.0
49,90,68.71283477163874,0.6584910195818106,699.2561032391353,2,2,0,1,0.72,970,95,0.68,28,0.536986301369863,187.74547429434318,120.0
49,24,81.82479618575731,0.5361675954360823,661.676799095961,1,0,1,0,0.45,940,88,0.4,19,0.910958904109589,301.38018588959864,120.0
49,33,62.7065804488974,0.6689524000588083,687.7660585024172,9,1,0,0,0.45,940,88,0.4,19,0.3643835616438356,125.30532298742669,120.0
49,372,65.67049196713522,0.8279855742907009,630.9018111226384,3,2,1,0,0.3,720,220,0.28,35,1.678082191780822,529.3525470035836,120.0
49,247,65.26044011954487,0.8828298115561234,609.2379105658836,0,1,0,1,0.85,2400,145,0.8,38,0.7287671232876712,221.99627974044526,120.0
49,71,42.2033999932793,0.9130156737255842,699.6044895607175,5,2,0,1,0.45,940,88,0.4,19,0.3643835616438356,127.46218782407594,120.0
49,60,88.87400846929452,0.7573703326152095,645.0268116602348,1,1,0,1,0.85,2400,145,0.8,38,0.7287671232876712,235.03716698852392,120.0
49,34,55.60886847722001,0.7395663089002666,591.0923605550082,12,2,0,1,0.45,940,88,0.4,19,0.3643835616438356,107.69216979974807,120.0
49,198,54.41765912645571,0.6269929407417272,504.6949074540205,0,2,1,0,0.85,2400,145,0.8,38,1.821917808219178,459.75631980400493,120.0
49,30,73.30462816149038,0.6342993105382349,630.7729756572221,6,3,0,1,0.85,2400,145,0.8,38,0.7287671232876712,229.84330345865902,120.0
49,77,64.17401771538486,0.5976315108271748,628.65807367309,1,1,0,1,0.45,940,88,0.4,19,0.3643835616438356,114.53633397057668,120.0
49,196,58.159102959955334,0.9652687299188294,579.0296426899115,2,2,0,0,0.85,2400,145,0.8,38,0.7287671232876712,210.9888835007075,120.0
